month,rank,repo,stars
2026-06,1,anthropics/skills,152722
2026-06,2,nexu-io/open-design,67725
2026-06,3,ComposioHQ/awesome-claude-skills,65183
2026-06,4,addyosmani/agent-skills,63194
2026-06,5,shanraisshan/claude-code-best-practice,58332
2026-06,6,VoltAgent/awesome-openclaw-skills,50381
2026-06,7,CherryHQ/cherry-studio,47538
2026-06,8,hesreallyhim/awesome-claude-code,46825
2026-06,9,sickn33/antigravity-awesome-skills,41106
2026-06,10,DietrichGebert/ponytail,38983
2026-06,11,wshobson/agents,36958
2026-06,12,github/awesome-copilot,35295
2026-06,13,hesamsheikh/awesome-openclaw-usecases,31392
2026-06,14,K-Dense-AI/scientific-agent-skills,28739
2026-06,15,googleworkspace/cli,27154
2026-06,16,VoltAgent/awesome-agent-skills,25840
2026-06,17,OthmanAdi/planning-with-files,23605
2026-06,18,JimLiu/baoyu-skills,21980
2026-06,19,agentskills/agentskills,20758
2026-06,20,phuryn/pm-skills,19700
2026-06,21,alirezarezvani/claude-skills,18525
2026-06,22,topoteretes/cognee,17903
2026-06,23,kubesphere/kubesphere,16974
2026-06,24,teng-lin/notebooklm-py,16635
2026-06,25,eigent-ai/eigent,14329
2026-06,26,NevaMind-AI/memU,13891
2026-06,27,wanshuiyin/Auto-claude-code-research-in-sleep,12342
2026-06,28,alibaba/zvec,11465
2026-06,29,aden-hive/hive,10565
2026-06,30,microsoft/SkillOpt,8335
2026-06,31,xixu-me/xget,8144
2026-06,32,refly-ai/refly,7381
2026-06,33,AgriciDaniel/claude-obsidian,7126
2026-06,34,nexu-io/html-anything,6998
2026-06,35,htmlstreamofficial/preline,6341
2026-06,36,ikaijua/Awesome-AITools,6030
2026-06,37,ThinkInAIXYZ/deepchat,6027
2026-06,38,trailofbits/skills,5775
2026-06,39,heilcheng/awesome-agent-skills,5691
2026-06,40,jnMetaCode/superpowers-zh,5612
2026-06,41,Gen-Verse/OpenClaw-RL,5506
2026-06,42,antfu/skills,5341
2026-06,43,metalbear-co/mirrord,5142
2026-06,44,breaking-brake/cc-wf-studio,5128
2026-06,45,OpenSenseNova/SenseNova-Skills,4576
2026-06,46,xianyu110/awesome-openclaw-tutorial,4491
2026-06,47,xixu-me/awesome-persona-distill-skills,4442
2026-06,48,gosom/google-maps-scraper,4410
2026-06,49,zebbern/claude-code-guide,4315
2026-06,50,Agents365-ai/drawio-skill,4135
2026-07,1,anthropics/skills,157879
2026-07,2,nexu-io/open-design,74559
2026-07,3,DietrichGebert/ponytail,72427
2026-07,4,addyosmani/agent-skills,68691
2026-07,5,ComposioHQ/awesome-claude-skills,66699
2026-07,6,shanraisshan/claude-code-best-practice,61898
2026-07,7,VoltAgent/awesome-openclaw-skills,50892
2026-07,8,CherryHQ/cherry-studio,48107
2026-07,9,hesreallyhim/awesome-claude-code,47856
2026-07,10,sickn33/antigravity-awesome-skills,42272
2026-07,11,wshobson/agents,37468
2026-07,12,github/awesome-copilot,36135
2026-07,13,hesamsheikh/awesome-openclaw-usecases,31463
2026-07,14,K-Dense-AI/scientific-agent-skills,30030
2026-07,15,googleworkspace/cli,29338
2026-07,16,VoltAgent/awesome-agent-skills,27185
2026-07,17,topoteretes/cognee,26740
2026-07,18,OthmanAdi/planning-with-files,24412
2026-07,19,JimLiu/baoyu-skills,23054
2026-07,20,phuryn/pm-skills,22295
2026-07,21,agentskills/agentskills,21810
2026-07,22,alirezarezvani/claude-skills,19795
2026-07,23,teng-lin/notebooklm-py,17126
2026-07,24,kubesphere/kubesphere,16992
2026-07,25,eigent-ai/eigent,14457
2026-07,26,NevaMind-AI/memU,13971
2026-07,27,wanshuiyin/Auto-claude-code-research-in-sleep,12959
2026-07,28,alibaba/zvec,12740
2026-07,29,aden-hive/hive,10633
2026-07,30,microsoft/SkillOpt,10529
2026-07,31,AgriciDaniel/claude-obsidian,8594
2026-07,33,xixu-me/xget,8154
